"product_id","qty"
"FUR-BO-10000112",9
"FUR-BO-10000330",4
"FUR-BO-10000330",4
"FUR-BO-10000330",2
"FUR-BO-10000362",6
"FUR-BO-10000362",3
"FUR-BO-10000362",2
"FUR-BO-10000362",2
"FUR-BO-10000362",1
"FUR-BO-10000468",7
"FUR-BO-10000468",4
"FUR-BO-10000468",4
"FUR-BO-10000468",3
"FUR-BO-10000468",2
"FUR-BO-10000468",1
"FUR-BO-10000711",9
"FUR-BO-10000711",3
"FUR-BO-10000780",7
"FUR-BO-10000780",7
"FUR-BO-10000780",3
"FUR-BO-10000780",3
"FUR-BO-10000780",2
"FUR-BO-10001337",6
"FUR-BO-10001337",5
"FUR-BO-10001337",3
"FUR-BO-10001337",3
"FUR-BO-10001337",3
"FUR-BO-10001337",2
"FUR-BO-10001337",2
"FUR-BO-10001337",2
"FUR-BO-10001337",1
"FUR-BO-10001337",1
"FUR-BO-10001519",9
"FUR-BO-10001519",4
"FUR-BO-10001519",3
"FUR-BO-10001519",3
"FUR-BO-10001519",3
"FUR-BO-10001567",3
"FUR-BO-10001601",7
"FUR-BO-10001601",2
"FUR-BO-10001601",1
"FUR-BO-10001608",12
"FUR-BO-10001608",6
"FUR-BO-10001608",5
"FUR-BO-10001608",4
"FUR-BO-10001608",3
"FUR-BO-10001619",5
"FUR-BO-10001619",1
"FUR-BO-10001798",5
"FUR-BO-10001798",3
"FUR-BO-10001798",2
"FUR-BO-10001798",2
"FUR-BO-10001798",2
"FUR-BO-10001811",6
"FUR-BO-10001811",5
"FUR-BO-10001811",5
"FUR-BO-10001811",3
"FUR-BO-10001811",3
"FUR-BO-10001811",2
"FUR-BO-10001811",1
"FUR-BO-10001811",1
"FUR-BO-10001918",6
"FUR-BO-10001918",2
"FUR-BO-10001918",2
"FUR-BO-10001972",13
"FUR-BO-10001972",6
"FUR-BO-10001972",5
"FUR-BO-10001972",5
"FUR-BO-10001972",4
"FUR-BO-10001972",2
"FUR-BO-10001972",2
"FUR-BO-10002202",2
"FUR-BO-10002202",1
"FUR-BO-10002206",1
"FUR-BO-10002213",10
"FUR-BO-10002213",8
"FUR-BO-10002213",5
"FUR-BO-10002213",5
"FUR-BO-10002213",4
"FUR-BO-10002213",3
"FUR-BO-10002213",3
"FUR-BO-10002213",2
"FUR-BO-10002213",1
"FUR-BO-10002213",1
"FUR-BO-10002268",6
"FUR-BO-10002268",6
"FUR-BO-10002268",4
"FUR-BO-10002545",7
"FUR-BO-10002545",6
"FUR-BO-10002545",5
"FUR-BO-10002545",4
"FUR-BO-10002545",4
"FUR-BO-10002545",3
"FUR-BO-10002545",3
"FUR-BO-10002545",3
"FUR-BO-10002598",9
"FUR-BO-10002598",4
"FUR-BO-10002598",2
"FUR-BO-10002598",2
"FUR-BO-10002598",2
"FUR-BO-10002613",7
"FUR-BO-10002613",7
"FUR-BO-10002613",5
"FUR-BO-10002613",4
"FUR-BO-10002613",2
"FUR-BO-10002613",2
"FUR-BO-10002824",2
"FUR-BO-10002824",2
"FUR-BO-10002824",2
"FUR-BO-10002853",4
"FUR-BO-10002853",2
"FUR-BO-10002853",2
"FUR-BO-10002853",1
"FUR-BO-10002916",8
"FUR-BO-10002916",3
"FUR-BO-10002916",3
"FUR-BO-10002916",1
"FUR-BO-10003034",5
"FUR-BO-10003034",5
"FUR-BO-10003034",3
"FUR-BO-10003034",3
"FUR-BO-10003034",2
"FUR-BO-10003159",4
"FUR-BO-10003159",3
"FUR-BO-10003159",3
"FUR-BO-10003159",3
"FUR-BO-10003159",2
"FUR-BO-10003159",2
"FUR-BO-10003159",2
"FUR-BO-10003272",9
"FUR-BO-10003272",5
"FUR-BO-10003272",2
"FUR-BO-10003272",2
"FUR-BO-10003272",2
"FUR-BO-10003272",1
"FUR-BO-10003404",5
"FUR-BO-10003404",3
"FUR-BO-10003433",8
"FUR-BO-10003433",4
"FUR-BO-10003433",2
"FUR-BO-10003441",4
"FUR-BO-10003441",3
"FUR-BO-10003441",3
"FUR-BO-10003441",3
"FUR-BO-10003441",3
"FUR-BO-10003441",2
"FUR-BO-10003450",7
"FUR-BO-10003450",4
"FUR-BO-10003450",3
"FUR-BO-10003546",8
"FUR-BO-10003546",6
"FUR-BO-10003546",5
"FUR-BO-10003546",3
"FUR-BO-10003660",2
"FUR-BO-10003660",1
"FUR-BO-10003660",1
"FUR-BO-10003893",10
"FUR-BO-10003893",6
"FUR-BO-10003894",8
"FUR-BO-10003894",4
"FUR-BO-10003894",2
"FUR-BO-10003965",5
"FUR-BO-10003965",3
"FUR-BO-10003965",2
"FUR-BO-10003965",2
"FUR-BO-10003966",3
"FUR-BO-10003966",3
"FUR-BO-10003966",2
"FUR-BO-10003966",2
"FUR-BO-10004015",9
"FUR-BO-10004015",5
"FUR-BO-10004015",5
"FUR-BO-10004015",3
"FUR-BO-10004015",3
"FUR-BO-10004015",3
"FUR-BO-10004015",2
"FUR-BO-10004015",2
"FUR-BO-10004015",2
"FUR-BO-10004218",10
"FUR-BO-10004218",5
"FUR-BO-10004218",5
"FUR-BO-10004218",5
"FUR-BO-10004218",4
"FUR-BO-10004218",2
"FUR-BO-10004218",2
"FUR-BO-10004218",1
"FUR-BO-10004357",7
"FUR-BO-10004357",4
"FUR-BO-10004357",3
"FUR-BO-10004357",3
"FUR-BO-10004360",3
"FUR-BO-10004360",1
"FUR-BO-10004409",5
"FUR-BO-10004409",5
"FUR-BO-10004409",2
"FUR-BO-10004409",2
"FUR-BO-10004409",2
"FUR-BO-10004409",1
"FUR-BO-10004467",7
"FUR-BO-10004467",7
"FUR-BO-10004467",5
"FUR-BO-10004467",3
"FUR-BO-10004467",3
"FUR-BO-10004467",3
"FUR-BO-10004467",2
"FUR-BO-10004467",1
"FUR-BO-10004690",5
"FUR-BO-10004690",4
"FUR-BO-10004695",9
"FUR-BO-10004695",7
"FUR-BO-10004695",5
"FUR-BO-10004695",4
"FUR-BO-10004695",2
"FUR-BO-10004695",2
"FUR-BO-10004695",2
"FUR-BO-10004709",7
"FUR-BO-10004709",5
"FUR-BO-10004709",5
"FUR-BO-10004709",4
"FUR-BO-10004709",3
"FUR-BO-10004709",3
"FUR-BO-10004709",2
"FUR-BO-10004709",2
"FUR-BO-10004709",1
"FUR-BO-10004834",7
"FUR-BO-10004834",6
"FUR-BO-10004834",5
"FUR-BO-10004834",4
"FUR-BO-10004834",2
"FUR-CH-10000015",8
"FUR-CH-10000015",7
"FUR-CH-10000015",7
"FUR-CH-10000015",6
"FUR-CH-10000015",4
"FUR-CH-10000015",4
"FUR-CH-10000155",3
"FUR-CH-10000155",3
"FUR-CH-10000155",3
"FUR-CH-10000155",2
"FUR-CH-10000155",2
"FUR-CH-10000155",1
"FUR-CH-10000225",8
"FUR-CH-10000225",8
"FUR-CH-10000225",3
"FUR-CH-10000225",2
"FUR-CH-10000225",2
"FUR-CH-10000225",1
"FUR-CH-10000225",1
"FUR-CH-10000229",3
"FUR-CH-10000229",3
"FUR-CH-10000229",2
"FUR-CH-10000229",2
"FUR-CH-10000309",4
"FUR-CH-10000309",4
"FUR-CH-10000309",3
"FUR-CH-10000309",3
"FUR-CH-10000309",3
"FUR-CH-10000422",8
"FUR-CH-10000422",6
"FUR-CH-10000422",4
"FUR-CH-10000422",4
"FUR-CH-10000422",3
"FUR-CH-10000422",3
"FUR-CH-10000422",3
"FUR-CH-10000422",2
"FUR-CH-10000422",1
"FUR-CH-10000454",9
"FUR-CH-10000454",8
"FUR-CH-10000454",6
"FUR-CH-10000454",5
"FUR-CH-10000454",5
"FUR-CH-10000454",4
"FUR-CH-10000454",3
"FUR-CH-10000454",3
"FUR-CH-10000454",3
"FUR-CH-10000454",2
"FUR-CH-10000454",2
"FUR-CH-10000454",1
"FUR-CH-10000513",14
"FUR-CH-10000513",8
